STEP 0; UNIT Opportunity; POSITION [13,12]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 95; UNIT Opportunity; POSITION [9,10]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 95; UNIT Perseverance; POSITION [16,17]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 96; UNIT Opportunity; POSITION [9,9]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 96; UNIT Perseverance; POSITION [17,17]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 97; UNIT Opportunity; POSITION [9,10]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 97; UNIT Perseverance; POSITION [16,17]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 98; UNIT Opportunity; POSITION [10,10]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 98; UNIT Perseverance; POSITION [16,18]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 99; UNIT Opportunity; POSITION [9,9]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 99; UNIT Perseverance; POSITION [15,19]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
